Title,Views,Views_Count,Published,URL,Duration_Text,Duration_Seconds,Category
"""คืนรับน้องเขาปล่อยผี"" หอพักในมหาลัยชื่อดังของเพื่อนผีดุมาก | หลอนตามสั่ง EP.390 | nuenglc",การดู 3.9 แสน ครั้ง,390000,2025-01-25 22:44:00.080249,https://www.youtube.com/watch?v=Zl3B87nto04,30:26,1826,เรื่องเล่า
"""ล่องแพผี"" พากันไปล่องแพที่ กจนบร ส่งท้ายปีแต่เกือบไม่รอด | หลอนตามสั่ง EP.389 | nuenglc",การดู 9.1 แสน ครั้ง,910000,2025-01-25 22:44:00.080253,https://www.youtube.com/watch?v=q5iHzW2VrJ8,44:19,2659,เรื่องเล่า
"""กฎ7ข้อในการเดินทางบนถนนหมายเลข013"" ฉบับแก้ไขปี พ.ศ.2545  | กฎหลอน | nuenglc",การดู 1.5 ล้าน ครั้ง,1500000,2025-01-25 22:44:00.080257,https://www.youtube.com/watch?v=RLzarbYxWOg&pp=0gcJCesJAYcqIYzv,1:48:16,6496,นิยาย
"""บ้านเช่าเขย่าขวัญ"" พ่อกับแม่เช่าบ้านสยองขวัญอยู่ที่ จ.สตูล  | หลอนตามสั่ง EP.388 | nuenglc",การดู 2.6 แสน ครั้ง,260000,2025-01-25 22:44:00.080262,https://www.youtube.com/watch?v=puyaxjmSI8s&pp=0gcJCesJAYcqIYzv,36:55,2215,เรื่องเล่า
"""ออแกไนซ์งานศพ"" บอกแล้วถ้าเห็นอย่าทักเดี๋ยวผีมันรู้ จ.ขอนแก่น | หลอนตามสั่ง EP.387 | nuenglc",การดู 2.8 แสน ครั้ง,280000,2025-01-25 22:44:00.080266,https://www.youtube.com/watch?v=1FC_zRKicXo,37:39,2259,เรื่องเล่า
"""บ้านเก่ารุ่นพี่"" จำเป็นต้องอยู่โดยไม่รู้ว่าในบ้านมีอะไร? (ม.กรุงเทพ) | หลอนตามสั่ง EP.386 | nuenglc",การดู 2.6 แสน ครั้ง,260000,2024-12-26 22:44:00.080270,https://www.youtube.com/watch?v=WXz1icnDE98,34:11,2051,เรื่องเล่า
"""เอาของกูไปทำไม"" เจ้าหน้าที่กู้ภัยโดนผีตามมาทวงของรักคืน | หลอนตามสั่ง EP.385 | nuenglc",การดู 2.2 แสน ครั้ง,220000,2024-12-26 22:44:00.080275,https://www.youtube.com/watch?v=-HHl_jRR5TQ,26:33,1593,เรื่องเล่า
"""อย่าไปเล่าให้ใครฟัง"" เดี๋ยวเขาจะหาว่าสามเณรเป็นบ้า!!! (จ.บุรีรัมย์) | หลอนตามสั่ง EP.384 | nuenglc",การดู 5.6 แสน ครั้ง,560000,2024-12-26 22:44:00.080279,https://www.youtube.com/watch?v=DIY2GrS_CGE,39:33,2373,เรื่องเล่า
"""เรื่องเล่าผีจากยาย"" พอได้ฟังเรื่องสุดท้ายที่สะพานนนทบุรีถึงกับช็อค | หลอนตามสั่ง EP.383 | nuenglc",การดู 2.7 แสน ครั้ง,270000,2024-12-26 22:44:00.080283,https://www.youtube.com/watch?v=GrwOzDK8ap4,29:32,1772,เรื่องเล่า
"""รวมเรื่องสยองขวัญบนท้องถนน"" เอาไว้เปิดฟังตอนเดินทางไกล | หลอนตามสั่งฟังจนหลอน Podcast. | nuenglc",การดู 7.1 แสน ครั้ง,710000,2024-12-26 22:44:00.080287,https://www.youtube.com/watch?v=l7iDtRg0mn0&pp=0gcJCesJAYcqIYzv,6:01:19,21679,เรื่องเล่า
"""ศพทั้งห้า"" ประสบการณ์สยองขวัญจากผู้ฟังทั้งห้าคน | หลอนตามสั่ง EP.382 | nuenglc",การดู 1.4 แสน ครั้ง,140000,2024-12-26 22:44:00.080292,https://www.youtube.com/watch?v=-nYlUQFBbWc&pp=0gcJCesJAYcqIYzv,57:29,3449,เรื่องจริง
"""ทางลัดกลับบ้าน"" GPSพาหลงไปเจอผีตอนกลับจากเที่ยวที่ จ.กระบี่ | หลอนตามสั่ง EP.381 | nuenglc",การดู 4.1 แสน ครั้ง,409999,2024-12-26 22:44:00.080296,https://www.youtube.com/watch?v=nAV9Vwd8I-o,39:59,2399,เรื่องเล่า
